District,County,Subcounty,Parish,Population Size by Parish,,,,Headship of Households by Sex,,,,Household Headship by specific age groups,,,,,,,HHd Population by Broad Ages,,,,,,,,,Population Distribution by Special Age groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,Female,Sex Ratio ,Total,Male Headed,,Fenale Headed,,10-17,,18-30,,60+,,Total HHds,0-17,,18-30,,31-59,,60+,,Total HH Pop,Less than 1 year,,0-4 Years,,0-8 Years,,2-8 Years,,2-17 Years,,6-12 Years,,6-15 Years,,10-15 Years,,10-17 Years,,15-24 Years,,16-24 Years,,15-29 Years,,2 Years and Above,,10 Years and Above,,15 Years and Above,,18 Years and above,,20 Years and above,,65 Years and Above,
,,,,,,,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
Kalangala,Bujumba,Bujumba,Bujumba,1096,874,125.4,1970,479,80.9,113,19.1,1,0.2,231,39,65,11,592,848,43.1,584,29.7,448,22.8,88,4.5,1968,58,2.9,285,14.5,488,24.8,375,19.1,735,37.3,314,16,434,22.1,247,12.6,319,16.2,418,21.2,1129,57.4,645,32.8,1855,94.3,1439,73.1,1233,62.7,1120,56.9,1038,52.7,63,3.2
Kalangala,Bujumba,Bujumba,Bunyama,1428,944,151.3,2372,806,83.8,156,16.2,5,0.5,352,36.6,31,3.2,962,755,33.1,735,32.2,753,33,38,1.7,2281,101,4.4,409,17.9,568,24.9,378,16.6,565,24.8,204,8.9,251,11,108,4.7,153,6.7,400,17.5,1550,68,710,31.1,2091,91.7,1679,73.6,1586,69.5,1526,66.9,1460,64,21,0.9
Kalangala,Bujumba,Bujumba,Bwendero,2214,1627,136.1,3841,1284,81,302,19,8,0.5,710,44.8,47,3,1586,1195,31.8,1433,38.1,1069,28.5,60,1.6,3757,172,4.6,658,17.5,904,24.1,605,16.1,896,23.8,316,8.4,390,10.4,166,4.4,245,6.5,816,21.7,2610,69.5,1411,37.6,3458,92,2807,74.7,2667,71,2562,68.2,2419,64.4,31,0.8
Kalangala,Bujumba,Bujumba,Mulabana,2005,1368,146.6,3373,1026,78.1,287,21.9,10,0.8,539,41.1,32,2.4,1313,1004,33.4,1023,34,939,31.2,40,1.3,3006,122,4.1,508,16.9,725,24.1,485,16.1,764,25.4,285,9.5,365,12.1,171,5.7,236,7.9,583,19.4,2041,67.9,1016,33.8,2766,92,2238,74.5,2090,69.5,2002,66.6,1914,63.7,26,0.9
Kalangala,Bujumba,Kalangala Town Council,Kalangala A,680,590,115.3,1270,247,64.2,138,35.8,4,1,130,33.8,29,7.5,385,486,42.4,329,28.7,296,25.8,35,3.1,1146,30,2.6,141,12.3,260,22.7,198,17.3,424,37,193,16.8,267,23.3,141,12.3,193,16.8,253,22.1,686,59.9,376,32.8,1084,94.6,853,74.4,729,63.6,660,57.6,605,52.8,26,2.3
Kalangala,Bujumba,Kalangala Town Council,Kalangala B,1943,1767,110,3710,885,72.6,334,27.4,10,0.8,484,39.7,55,4.5,1219,1411,41.2,1080,31.6,871,25.4,61,1.8,3423,141,4.1,587,17.1,905,26.4,642,18.8,1148,33.5,466,13.6,629,18.4,344,10,453,13.2,687,20.1,2086,60.9,1152,33.7,3160,92.3,2465,72,2173,63.5,2012,58.8,1891,55.2,35,1
Kalangala,Bujumba,Mugoye,Bbeta,3246,2585,125.6,5831,1434,75.1,475,24.9,11,0.6,753,39.4,110,5.8,1909,2391,43.4,1596,28.9,1401,25.4,126,2.3,5514,229,4.2,1040,18.9,1597,29,1153,20.9,1947,35.3,834,15.1,1079,19.6,554,10,684,12.4,997,18.1,3176,57.6,1636,29.7,5070,91.9,3807,69,3317,60.2,3123,56.6,2942,53.4,77,1.4
Kalangala,Bujumba,Mugoye,Kagulube,1772,1392,127.3,3164,769,76.7,234,23.3,8,0.8,340,33.9,83,8.3,1003,1383,45,790,25.7,808,26.3,95,3.1,3076,125,4.1,582,18.9,888,28.9,644,20.9,1139,37,462,15,626,20.4,351,11.4,435,14.1,522,17,1720,55.9,851,27.7,2832,92.1,2128,69.2,1821,59.2,1693,55,1595,51.9,57,1.9
Kalangala,Bujumba,Mugoye,Kayunga,1759,1470,119.7,3229,696,77.4,203,22.6,9,1,304,33.8,63,7,899,1387,45.7,793,26.1,776,25.6,79,2.6,3035,124,4.1,561,18.5,867,28.6,633,20.9,1153,38,465,15.3,632,20.8,345,11.4,450,14.8,567,18.7,1705,56.2,885,29.2,2801,92.3,2098,69.1,1812,59.7,1648,54.3,1543,50.8,48,1.6
