District,County,Subcounty,Parish,Population Size by Parish,,,,Headship of Households by Sex,,,,Household Headship by specific age groups,,,,,,,HHd Population by Broad Ages,,,,,,,,,Population Distribution by Special Age groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,Female,Sex Ratio ,Total,Male Headed,,Fenale Headed,,10-17,,18-30,,60+,,Total HHds,0-17,,18-30,,31-59,,60+,,Total HH Pop,Less than 1 year,,0-4 Years,,0-8 Years,,2-8 Years,,2-17 Years,,6-12 Years,,6-15 Years,,10-15 Years,,10-17 Years,,15-24 Years,,16-24 Years,,15-29 Years,,2 Years and Above,,10 Years and Above,,15 Years and Above,,18 Years and above,,20 Years and above,,65 Years and Above,
,,,,,,,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
Adjumani,East Moyo,Adjumani Town Council,Biyaya,5354,5630,95.1,10984,1350,73.8,479,26.2,6,0.3,485,26.5,178,9.7,1829,5873,53.5,2790,25.4,1971,18,335,3.1,10969,312,2.8,1591,14.5,2972,27.1,2362,21.5,5263,48,2264,20.6,3291,30,1941,17.7,2588,23.6,2677,24.4,5535,50.5,3572,32.6,10359,94.4,7684,70.1,6071,55.3,5096,46.5,4531,41.3,208,1.9
Adjumani,East Moyo,Adjumani Town Council,Central,5758,6225,92.5,11983,1449,69.9,625,30.1,3,0.1,656,31.6,152,7.3,2074,6350,54.2,3103,26.5,1983,16.9,281,2.4,11717,305,2.6,1753,15,3216,27.4,2533,21.6,5667,48.4,2436,20.8,3547,30.3,2090,17.8,2787,23.8,2930,25,5884,50.2,3888,33.2,11034,94.2,8154,69.6,6428,54.9,5367,45.8,4793,40.9,180,1.5
Adjumani,East Moyo,Adjumani Town Council,Cesia,5943,6523,91.1,12466,1472,69.4,650,30.6,7,0.3,486,22.9,241,11.4,2122,6642,53.8,2991,24.2,2301,18.6,407,3.3,12341,363,2.9,1908,15.5,3375,27.3,2636,21.4,5903,47.8,2535,20.5,3686,29.9,2192,17.8,2887,23.4,2846,23.1,6134,49.7,3821,31,11602,94,8586,69.6,6763,54.8,5699,46.2,5103,41.3,260,2.1
Adjumani,East Moyo,Adropi,Esia,1370,1470,93.2,2840,451,80.1,112,19.9,2,0.4,213,37.8,33,5.9,563,1757,61.9,607,21.4,427,15,49,1.7,2840,121,4.3,617,21.7,1011,35.6,759,26.7,1505,53,643,22.6,887,31.2,499,17.6,652,23,597,21,1207,42.5,792,27.9,2588,91.1,1735,61.1,1303,45.9,1083,38.1,964,33.9,29,1
Adjumani,East Moyo,Adropi,Lajopi,891,913,97.6,1804,274,73.7,98,26.3,1,0.3,96,25.8,41,11,372,933,51.7,472,26.2,349,19.3,50,2.8,1804,51,2.8,265,14.7,478,26.5,377,20.9,832,46.1,364,20.2,526,29.2,326,18.1,406,22.5,403,22.3,923,51.2,575,31.9,1703,94.4,1277,70.8,1009,55.9,871,48.3,782,43.3,28,1.6
Adjumani,East Moyo,Adropi,Obilokongo,974,1092,89.2,2066,313,78.6,85,21.4,0,0,158,39.7,26,6.5,398,1327,64.3,405,19.6,298,14.4,35,1.7,2065,119,5.8,471,22.8,787,38.1,574,27.8,1114,53.9,494,23.9,667,32.3,363,17.6,466,22.6,368,17.8,819,39.7,527,25.5,1852,89.7,1204,58.3,888,43,738,35.7,652,31.6,22,1.1
Adjumani,East Moyo,Adropi,Openzinzi,1221,964,126.7,2185,294,72.8,110,27.2,2,0.5,101,25,51,12.6,404,1038,54.6,405,21.3,390,20.5,67,3.5,1900,78,4.1,311,16.4,542,28.5,401,21.1,897,47.2,411,21.6,576,30.3,358,18.8,444,23.4,370,19.5,905,47.6,515,27.1,1759,92.6,1306,68.7,999,52.6,862,45.4,776,40.8,43,2.3
Adjumani,East Moyo,Adropi,Palemo,1383,1436,96.3,2819,397,74.8,134,25.2,1,0.2,127,23.9,60,11.3,531,1596,56.6,595,21.1,523,18.6,105,3.7,2819,112,4,508,18,853,30.3,645,22.9,1388,49.2,593,21,845,30,488,17.3,653,23.2,566,20.1,1318,46.8,777,27.6,2611,92.6,1876,66.5,1454,51.6,1223,43.4,1124,39.9,70,2.5
Adjumani,East Moyo,Arinyapi,Arasi,808,779,103.7,1587,228,72.6,86,27.4,1,0.3,99,31.5,39,12.4,314,911,57.4,361,22.7,266,16.8,49,3.1,1587,65,4.1,307,19.3,531,33.5,402,25.3,782,49.3,357,22.5,471,29.7,253,15.9,338,21.3,353,22.2,729,45.9,458,28.9,1458,91.9,1014,63.9,791,49.8,676,42.6,600,37.8,32,2
Adjumani,East Moyo,Arinyapi,Elegu,1209,1269,95.3,2478,332,69.3,147,30.7,8,1.7,172,35.9,45,9.4,479,1488,60,563,22.7,375,15.1,52,2.1,2478,155,6.3,504,20.3,855,34.5,605,24.4,1238,50,554,22.4,782,31.6,436,17.6,549,22.2,542,21.9,1065,43,739,29.8,2228,89.9,1539,62.1,1185,47.8,990,40,874,35.3,38,1.5
Adjumani,East Moyo,Arinyapi,Ituju,1390,1391,99.9,2781,388,71.2,157,28.8,0,0,184,33.8,63,11.6,545,1592,57.2,636,22.9,471,16.9,82,2.9,2781,98,3.5,476,17.1,845,30.4,656,23.6,1403,50.4,597,21.5,873,31.4,510,18.3,651,23.4,600,21.6,1266,45.5,813,29.2,2592,93.2,1840,66.2,1408,50.6,1189,42.8,1066,38.3,64,2.3
Adjumani,East Moyo,Arinyapi,Liri,1496,1629,91.8,3125,440,75.3,144,24.7,1,0.2,149,25.5,84,14.4,584,1715,54.9,730,23.4,585,18.7,95,3,3125,127,4.1,560,17.9,970,31,726,23.2,1471,47.1,661,21.2,916,29.3,519,16.6,660,21.1,683,21.9,1494,47.8,901,28.8,2881,92.2,2070,66.2,1635,52.3,1410,45.1,1269,40.6,57,1.8
Adjumani,East Moyo,Arinyapi,Zinyini,851,846,100.6,1697,221,72.9,82,27.1,0,0,75,24.8,41,13.5,303,972,57.3,366,21.6,307,18.1,51,3,1696,61,3.6,285,16.8,510,30.1,399,23.5,861,50.8,394,23.2,542,32,314,18.5,409,24.1,352,20.8,787,46.4,487,28.7,1585,93.5,1133,66.8,865,51,724,42.7,658,38.8,32,1.9
Adjumani,East Moyo,Ciforo,Agojo,964,1043,92.4,2007,307,71.7,121,28.3,2,0.5,116,27.1,66,15.4,428,1115,55.6,441,22,370,18.4,81,4,2007,66,3.3,373,18.6,648,32.3,487,24.3,954,47.5,432,21.5,590,29.4,315,15.7,404,20.1,410,20.4,934,46.5,550,27.4,1846,92,1296,64.6,1034,51.5,892,44.4,797,39.7,47,2.3
Adjumani,East Moyo,Ciforo,Loa,1824,1829,99.7,3653,619,74.1,216,25.9,5,0.6,233,27.9,147,17.6,835,2023,56.1,712,19.8,686,19,183,5.1,3604,144,4,668,18.5,1166,32.4,878,24.4,1735,48.1,799,22.2,1069,29.7,589,16.3,751,20.8,638,17.7,1638,45.4,900,25,3316,92,2332,64.7,1816,50.4,1581,43.9,1438,39.9,105,2.9
Adjumani,East Moyo,Ciforo,Mugi,1164,1183,98.4,2347,344,75.6,111,24.4,1,0.2,129,28.4,49,10.8,455,1324,56.4,539,23,411,17.5,73,3.1,2347,94,4,421,17.9,738,31.4,570,24.3,1156,49.3,493,21,718,30.6,418,17.8,529,22.5,532,22.7,1093,46.6,690,29.4,2179,92.8,1552,66.1,1200,51.1,1023,43.6,900,38.3,41,1.7
Adjumani,East Moyo,Ciforo,Okangali,1906,1930,98.8,3836,628,75.5,204,24.5,2,0.2,238,28.6,100,12,832,2210,57.6,763,19.9,740,19.3,123,3.2,3836,174,4.5,728,19,1256,32.7,955,24.9,1909,49.8,815,21.2,1155,30.1,669,17.4,846,22.1,760,19.8,1724,44.9,987,25.7,3535,92.2,2472,64.4,1903,49.6,1626,42.4,1461,38.1,79,2.1
Adjumani,East Moyo,Ciforo,Opejo,1289,1339,96.3,2628,442,75.3,145,24.7,2,0.3,172,29.3,79,13.5,587,1439,54.8,554,21.1,533,20.3,102,3.9,2628,98,3.7,450,17.1,785,29.9,592,22.5,1246,47.4,566,21.5,775,29.5,442,16.8,573,21.8,545,20.7,1259,47.9,721,27.4,2435,92.7,1762,67,1395,53.1,1189,45.2,1084,41.2,61,2.3
Adjumani,East Moyo,Dzaipi,Adidi,1509,1526,98.9,3035,552,77.9,157,22.1,2,0.3,245,34.6,76,10.7,709,1712,56.6,655,21.7,569,18.8,89,2.9,3025,171,5.7,625,20.7,994,32.9,714,23.6,1432,47.3,607,20.1,854,28.2,487,16.1,630,20.8,615,20.3,1408,46.5,811,26.8,2745,90.7,1943,64.2,1522,50.3,1313,43.4,1170,38.7,48,1.6
Adjumani,East Moyo,Dzaipi,Ajugopi,11580,13459,86,25039,1398,33.6,2760,66.4,30,0.7,1481,35.6,327,7.9,4158,15805,65,4094,16.8,3633,14.9,797,3.3,24329,1022,4.2,5753,23.6,9668,39.7,7416,30.5,13553,55.7,5911,24.3,7954,32.7,4239,17.4,5230,21.5,3766,15.5,9044,37.2,5166,21.2,22077,90.7,13754,56.5,10128,41.6,8524,35,7750,31.9,471,1.9
Adjumani,East Moyo,Dzaipi,Logoangwa,1652,1618,102.1,3270,515,74.6,175,25.4,2,0.3,177,25.7,93,13.5,690,1845,56.4,636,19.4,659,20.2,130,4,3270,141,4.3,640,19.6,1085,33.2,819,25,1579,48.3,668,20.4,926,28.3,512,15.7,664,20.3,617,18.9,1500,45.9,826,25.3,3004,91.9,2089,63.9,1651,50.5,1425,43.6,1294,39.6,77,2.4
Adjumani,East Moyo,Dzaipi,Mgbere,1836,2017,91,3853,613,65.1,328,34.9,5,0.5,302,32.1,108,11.5,941,2064,54.3,865,22.8,736,19.4,134,3.5,3799,146,3.8,670,17.6,1129,29.7,858,22.6,1793,47.2,767,20.2,1079,28.4,651,17.1,837,22,790,20.8,1835,48.3,1085,28.6,3528,92.9,2572,67.7,2011,52.9,1735,45.7,1570,41.3,86,2.3
Adjumani,East Moyo,Dzaipi,Miniki,3590,4101,87.5,7691,857,56.2,669,43.8,15,1,483,31.7,150,9.8,1526,4817,62.9,1327,17.3,1291,16.9,226,3,7661,315,4.1,1665,21.7,2848,37.2,2145,28,4114,53.7,1766,23.1,2444,31.9,1355,17.7,1732,22.6,1336,17.4,3075,40.1,1787,23.3,6958,90.8,4576,59.7,3418,44.6,2844,37.1,2590,33.8,146,1.9
Adjumani,East Moyo,Itirikwa,Baratuku,483,516,93.6,999,133,81.6,30,18.4,0,0,45,27.6,13,8,163,590,59.1,198,19.8,187,18.7,24,2.4,999,52,5.2,198,19.8,337,33.7,245,24.5,498,49.8,211,21.1,296,29.6,176,17.6,228,22.8,206,20.6,444,44.4,269,26.9,907,90.8,637,63.8,491,49.1,409,40.9,356,35.6,17,1.7
