Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Northern Region,North East,W3hXYmtaQ4Q,Kotido District,Nakapelimo Subcounty,405 Brigade Health Centre III,URC DOD/UPDF,160698,DOD,OELkOLxvZxB,W3hXYmtaQ4Q,Kotido District,Nakapelimo Subcounty,405 Brigade Health Centre III,URC_DOD_UPDF,160698,DOD,DSD,FY2025Q1,122,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,4,16,39,38,10,6,0,0,0,0,0,0,0,,,0,0,1,1,,,0,0,3,93,,,0,0,0,24
Northern Region,Mid Northern,auzuV39xOTU,Pader District,Pader Subcounty,5th Military Division Health Centre IV,URC DOD/UPDF,160698,DOD,OELkOLxvZxB,auzuV39xOTU,Pader District,Pader Subcounty,5th Military Division Health Centre IV,URC_DOD_UPDF,160698,DOD,DSD,FY2025Q1,692,0,0,0,1,7,8,6,30,47,72,45,24,24,13,5,7,0,0,0,2,1,5,3,12,14,49,87,103,82,19,16,10,0,0,0,0,0,,,1,1,31,39,,,6,2,132,143,,,1,0,118,218
Eastern Region,North East,J2JiemiIQvD,Katakwi District,Usuk Subcounty,Aakum Health Centre II,AIC Soroti  Region,87041,CDC,l86BIz6pDzr,J2JiemiIQvD,Katakwi District,Usuk Subcounty,Aakum Health Centre II,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,13,4,,,0,0,0,0
Eastern Region,North East,aVQCbe80pl7,Serere District,Labori Subcounty,Aarapoo Health Centre III,AIC Soroti  Region,87041,CDC,JXTSTKGSHxq,aVQCbe80pl7,Serere District,Labori Subcounty,Aarapoo Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,240,0,0,2,3,2,1,9,15,21,17,16,18,15,8,13,5,0,0,2,4,2,2,4,7,6,10,22,10,13,4,5,4,0,0,0,0,0,,,3,3,14,5,,,4,5,68,50,,,56,32,0,0
Northern Region,Mid Northern,yDPmjwoOIxi,Alebtong District,Abako Subcounty,Abako Health Centre III,JCRC Kigezi Lango,81997,USAID,vitFG8P7w6d,yDPmjwoOIxi,Alebtong District,Abako Subcounty,Abako Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,787,0,0,1,8,8,12,44,85,91,81,74,53,27,19,16,9,0,0,2,3,4,10,4,22,43,51,43,25,16,15,12,9,0,0,0,0,0,,,1,0,40,9,,,5,2,65,46,,,11,7,406,195
Northern Region,Mid Northern,E9a1cflRJZf,Lira District,Agweng Subcounty,Abala Health Centre III,JCRC Kigezi Lango,81997,USAID,NZveauz4biY,E9a1cflRJZf,Lira District,Agweng Subcounty,Abala Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,403,0,0,1,5,7,6,15,41,48,39,29,25,18,11,5,5,0,0,3,2,4,2,4,8,20,27,25,14,18,6,8,7,0,0,0,0,0,,,0,0,0,0,,,13,9,145,72,,,0,0,97,67
Eastern Region,North East,IswqGyDbcgm,Amuria District,Abarilela Subcounty,Abarilela Health Centre III,AIC Soroti  Region,87041,CDC,jj0VP3cAaCp,IswqGyDbcgm,Amuria District,Abarilela Subcounty,Abarilela Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,7,10,92,59,,,6,4,133,77,,,4,4,44,29
Northern Region,Mid Northern,YhPJwSvxDcC,Kwania District,Abongomola Subcounty,Abedober Health Centre III,UPMB LSD,81995,USAID,ETNfHRB11Ni,YhPJwSvxDcC,Kwania District,Abongomola Subcounty,Abedober Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,144,0,0,3,1,1,2,6,7,18,14,13,13,7,3,1,1,0,0,0,1,1,0,0,3,8,7,13,6,9,3,0,3,0,0,0,0,0,,,1,0,8,5,,,3,2,44,23,,,1,0,33,24
Northern Region,Mid Northern,i783Z5CHxyj,Oyam District,Aleka Subcounty,Abela Health Centre III,JCRC Kigezi Lango,81997,USAID,ucEGBkeK4Dy,i783Z5CHxyj,Oyam District,Aleka Subcounty,Abela Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,133,0,1,0,0,1,2,6,23,16,16,9,3,6,9,1,3,0,0,0,0,1,0,0,2,10,12,1,5,2,4,0,0,0,0,0,0,0,,,0,0,7,3,,,2,0,54,17,,,0,1,33,16
Northern Region,Mid Northern,SNwc1CQIXTN,Alebtong District,Abia Subcounty,Abia Health Centre II (Abia Subcounty),JCRC Kigezi Lango,81997,USAID,syzZUu3K5CZ,SNwc1CQIXTN,Alebtong District,Abia Subcounty,Abia Health Centre II (Abia Subcounty),JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,44,0,0,0,0,1,2,5,5,6,5,2,3,2,1,0,0,0,0,1,0,0,0,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,,,0,0,3,4,,,1,1,22,5,,,0,0,6,2
