Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
North Central,a01gDo4KauR,Luwero District,Bombo Town Council,St. Luke Namaliga HC III,WALTER REED_MUWRP,,iOoM7kbje9s,a01gDo4KauR,Luwero District,Bombo Town Council,St. Luke Namaliga HC IV,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,5,3,2,,,2,1,1,1,,,,,,,,,,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,6,0,0,0,0,3,1,0,0,0,0,1,0,0,0
Tooro,a0Tgsf83fGB,Bunyangabu District,Kiyombya Subcounty,Kiyombya HC III,Baylor Fort Portal_Mubende Region,,G7n2M7Hqw4S,a0Tgsf83fGB,Bunyangabu District,Kiyombya Subcounty,Kiyombya HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,147,105,42,1,1,17,7,24,5,27,6,15,11,10,9,3,1,8,2,147,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,7,24,5,27,6,15,11,10,9,3,1,8,2,83,0,0,83,0,0,0,0,0,148,147,0,0,0,0,0,21,0,0,1,19,0,0,17,0
West Nile,a1DNpYv02JK,Pakwach District,Pakwach Town Council,Pakwach Mission HC III,UEC,,Fxfs6HysZOX,a1DNpYv02JK,Pakwach District,Pakwach Town Council,Pakwach Mission HC III,UEC,81974,CDC,Oct-Dec 2024,,,3,2,1,,,,,1,,,,,,,,1,1,,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Tooro,a1H4RSyoXOj,Kyegegwa District,Hapuuyo Town Council,Hapuuyo HC III,Baylor Fort Portal_Mubende Region,,qx36zCD4cWj,a1H4RSyoXOj,Kyegegwa District,Hapuuyo Town Council,Hapuuyo HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,57,47,10,17,1,16,4,4,1,6,1,,2,2,1,1,,1,,57,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,16,4,4,1,6,1,0,2,2,1,1,0,1,0,50,0,0,50,0,0,0,0,0,57,57,0,0,0,0,2,2,0,0,0,0,0,0,2,0
Tooro,a3HP4aNtOMO,Kamwenge District,Bwizi Subcounty,Bwizi HC III,Baylor Fort Portal_Mubende Region,,LJMe8tULLrM,a3HP4aNtOMO,Kamwenge District,Bwizi Subcounty,Bwizi HC III,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,2,2,0,,,,,,,1,,1,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Bunyoro,a3qKoIZXK3t,Kiryandongo District,Bweyale Town Council,Panyadoli HC III,Baylor_Hoima Region,,PCkQKnLDg7k,a3qKoIZXK3t,Kiryandongo District,Bweyale Town Council,Panyadoli HC IV,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,89,40,49,3,,9,14,13,6,4,4,7,10,3,3,,9,1,3,89,0,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,9,13,12,6,3,4,7,10,3,3,0,9,1,3,40,0,0,40,0,0,0,0,0,90,89,0,0,0,0,0,43,0,0,0,1,0,0,6,0
North Central,a4QdFgngSuD,Luwero District,Wobulenzi Town Council,Katikamu Kisuule (The Good Samaritan) HC III,WALTER REED_MUWRP,,mqstZH7Iy8J,a4QdFgngSuD,Luwero District,Wobulenzi Town Council,Katikamu Kisuule (The Good Samaritan) HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,124,70,54,2,2,32,13,14,12,13,9,8,11,1,5,,1,,1,124,0,20,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,5,1,2,1,0,1,0,0,0,0,2,2,28,8,14,11,8,8,6,10,1,4,0,1,0,1,63,0,0,63,0,0,0,0,9,115,124,0,0,0,3,3,42,0,0,0,3,5,0,8,0
South Central,a4SedC8Ix2O,Wakiso District,Kasangati Town Council,Kasangati HC IV,IDI_Masaka Wakiso Region,,pukdKrwH6aj,a4SedC8Ix2O,Wakiso District,Kasangati Town Council,Kasangati HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,380,227,153,16,2,84,36,83,53,32,39,9,14,2,7,,1,1,1,380,0,37,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,5,5,2,7,4,2,1,0,0,0,0,0,14,2,78,33,78,48,30,32,5,12,1,7,0,1,1,1,197,0,0,197,0,0,0,0,352,41,378,0,0,0,0,34,171,0,0,0,0,0,0,0,0
North Central,a6p3dWy4ce7,Mukono District,Ntunda Subcounty,Kyabazaala HC III,WALTER REED_MUWRP,,PDOD9kF4XE1,a6p3dWy4ce7,Mukono District,Ntunda Subcounty,Kyabazaala HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,18,13,5,,,7,,2,,,2,2,,,1,2,1,,1,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,2,2,0,0,1,2,1,0,1,30,0,0,30,0,0,0,0,21,24,18,0,0,0,0,8,2,0,0,0,5,0,0,0,0
Tooro,A6P3WOAXDru,Ntoroko District,Karugutu Town Council,Karugutu HC IV,Baylor Fort Portal_Mubende Region,,i0IpKLx3MjC,A6P3WOAXDru,Ntoroko District,Karugutu Town Council,Karugutu HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
