KP Tracker ID,Region,Tracker District,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,DATIM,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name (DAPTS List),COP  Mechanism ID,Agency,Period,Comment,IP Response to column P,PREP _NEW Overall Total,PREP_NEW  Total Female,PREP_NEW  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PReP_NEW,"MSM, Male",Transgender,Sex Workers,PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,Event driven prep,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Non-injecting drug users,Discordant Couples,Others
Teso,Amuria District,Amuria Town Council,oRHreBW5Tyr,Amuria Hospital,CoP23 - AIC_Soroti Region,CaGjhbitWT4,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria Hospital,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,4,1,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,3
Teso,Serere District,Bugondo Subcounty,qzSy84YdUkX,Apapai HC IV,CoP23 - AIC_Soroti Region,U7nanCZTlvQ,qzSy84YdUkX,Serere District,Bugondo Subcounty,Apapai HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,15,15,0,2,0,7,0,0,0,3,0,1,0,2,0,0,0,0,0,15,0,0,15,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Teso,Bukedea District,Bukedea Town Council,tpIyT18ybqD,Bukedea HC IV,CoP23 - AIC_Soroti Region,ZhlrG04KfIT,tpIyT18ybqD,Bukedea District,Bukedea Town Council,Bukedea HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,83,81,2,15,0,31,1,22,0,8,1,4,0,0,0,0,0,1,0,71,0,0,71,0,0,0,0,0,83,82,0,0,0,0,9,2,0,0,0,0,0,0,0
Teso,Soroti City,Eastern Division (Soroti MC),YS1I62rL00h,Eastern Division HC III,CoP23 - AIC_Soroti Region,YRU5qIg7Pzz,YS1I62rL00h,Soroti City,Soroti East Division,Eastern Division HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,83,44,39,4,2,14,5,13,10,5,11,8,11,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,83,83,0,0,0,0,0,9,0,0,0,0,0,0,0
Teso,Katakwi District,Katakwi Town Council,l5XOgabZp4j,Katakwi Hospital,CoP23 - AIC_Soroti Region,AvyiIZtBN09,l5XOgabZp4j,Katakwi District,Katakwi Town Council,Katakwi Hospital,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,10,8,2,0,0,0,0,1,1,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0
Teso,Soroti City,Northern Division (Soroti MC),CxzGSxEbecK,Kichinjaji HC III,CoP23 - AIC_Soroti Region,E7v3dL1ZX6G,CxzGSxEbecK,Soroti City,Soroti East Division,Kichinjaji HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,50,15,35,0,4,4,10,5,12,3,5,1,1,1,2,0,0,1,1,9,0,0,9,0,0,0,0,12,38,50,0,0,0,0,0,20,0,0,0,3,0,5,0
Teso,Kumi District,Southern Division (Kumi MC),T7PV25xOz2Z,Kumi HC IV,CoP23 - AIC_Soroti Region,CUnN5ucSPVy,T7PV25xOz2Z,Kumi District,Southern Division,Kumi HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,150,150,0,12,0,39,0,68,0,23,0,6,0,2,0,0,0,0,0,142,0,0,142,0,0,0,0,0,148,150,0,0,0,0,7,0,0,0,0,1,0,0,0
Teso,Katakwi District,Magoro Subcounty,VZvZyX8jBB4,Magoro HC III,CoP23 - AIC_Soroti Region,ANCbNAWX0eJ,VZvZyX8jBB4,Katakwi District,Magoro Subcounty,Magoro HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,6,5,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,1,0,0,3
Teso,Katakwi District,Ngariam Subcounty,XHgTvnlWtW0,Ngariam HC III,CoP23 - AIC_Soroti Region,ObAXbNqsxGz,XHgTvnlWtW0,Katakwi District,Ngariam Subcounty,Ngariam HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,24,8,16,3,0,2,3,1,8,0,2,1,2,0,0,1,0,0,1,3,0,0,3,0,0,0,0,1,23,24,0,0,0,0,2,0,0,0,8,0,0,5,0
Teso,Ngora District,Ngora Town Council,O9q5mhryXaX,Ngora HC IV,CoP23 - AIC_Soroti Region,keS3rHXPh8f,O9q5mhryXaX,Ngora District,Ngora Town Council,Ngora HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,58,44,14,0,0,8,0,16,1,8,5,6,3,5,2,1,2,0,1,36,0,0,36,0,0,0,0,1,57,58,0,0,0,0,4,5,0,1,0,1,0,0,1
