,,,,,,,,,,,,,,,,,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV2,PP_PREV3,PP_PREV4,PP_PREV5,PP_PREV6,PP_PREV7,PP_PREV8,PP_PREV9,PP_PREV10,PP_PREV11,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
Region,District , Subcounty,Service outlet,Tracker HF ID,KP Tracker /HIBRID Mechanism name,DATIM ID,DATIM Subcounty ID,DATIM Subcounty Name,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Period,"Numerator: 
Overall Total"," 10-14 Years, Female"," 10-14 Years, Male"," (15 - 19) Years, Female"," (15 - 19) Years, Male"," 20-24 Years, Female"," 20-24 Years, Male"," 25-29 Years, Female"," 25-29 Years, Male"," 30-34 Years, Female"," 30-34 Years, Male"," (35 - 39) Years, Female"," (35 - 39) Years, Male"," 40-44 Years, Female"," 40-44 Years, Male","45-49 Yrears, Female","45-49 Yrears, Male"," 50+ Years, Female"," 50+ Years, Male",PP_PREV HTS services: Overall Total,Known HIV Positive,Newly tested and/or referred for testing,Declined testing and/or referral,Test not required based on risk assessment,Displaced Persons,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,Adolescents (10-24),Displaced Persons,Discordant Couples,Clients of  Sex Workers,Military and other Uniform Services,Mobile Populations,Truck Drivers,Fishing communities,Non-injecting drug users,Any Other Priority Population,PP_PREV,HTS_TST,Known HIV Positive,Newly tested and/or referred for testing,Declined testing and/or referral,Test not required based on risk assessment,HTS_TST (Newly tested),HTS_TST_POS,TX_NEW,TX_CURR,VL eligible,VL tested,VL suppressed,
Lango,Oyam District,Kamdini Subcounty,Aber Hospital,cDGKAJzfkpf,,whVRRz5wfqJ,oQatC41fkR8,Kamdini Subcounty,cDGKAJzfkpf,Oyam District,Kamdini Subcounty,St. John XXIII Hospital Aber,UPMB_LSD,81995,USAID,FY2024Q4,94,,,11,4,18,,7,8,1,8,7,9,,4,4,5,2,6,,,94,,1,,25,,3,7,5,54,1,,25,25,,3,,7,5,28,1,0,25,25,0,3,0,7,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95,,94,,1,94,0,0,0,0,0,0,TRUE
Lango,Kole District,Aboke Subcounty,Aboke HC IV,UIhutvdIhqU,,qdfauyzsicr,n1m5X7BigR9,Aboke Subcounty,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,"1,186",1,,77,130,131,74,117,98,97,91,86,65,51,61,23,41,13,30,,15,1239,,,,132,4,33,226,188,671,12,,44,132,4,9,24,226,188,615,12,0,44,144,5,9,27,227,183,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,"1,186","1,254",15,"1,239",,,"1,265",0,0,15,15,15,15,FALSE
Lango,Kwania District,Abongomola Subcounty,Abongomola HC III,xzRSc5XHzys,,rDCHA2jHz39,Q9sUqH7HoYP,Abongomola Subcounty,xzRSc5XHzys,Kwania District,Abongomola Subcounty,Abongomola HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,,1,0,0,0,0,0,0,FALSE
Acholi,Agago District,Adilang Subcounty,Adilang HC III,FvewOonC8lS,,ZeRcMv22glU,ClwHXeeXWEt,Adilang Subcounty,FvewOonC8lS,Agago District,Adilang Town Council,Adilang HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,458,1,6,65,128,86,70,13,46,2,18,3,7,3,6,,3,,1,,20,401,,38,,6,49,32,,,371,191,,16,6,49,32,,,,164,169,0,15,3,43,26,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,2,458,459,20,401,,38,400,0,0,18,20,20,18,TRUE
West Nile,Adjumani District,Adjumani Town Council,Adjumani Hospital,hvtKTUxWNrt,,DXy9kBbZcEQ,jM4Qy260tRg,Adjumani Town Council,hvtKTUxWNrt,Adjumani District,Adjumani Town Council,Adjumani Hospital,IDI_West Nile Region,84981,CDC,FY2024Q4,771,1,,25,26,112,9,31,170,21,140,15,76,12,60,11,26,9,27,,,769,,,1,107,20,439,92,6,102,13,1,66,107,20,301,138,92,6,23,13,1,65,107,20,301,137,92,6,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,769,,769,,,765,2,0,0,0,0,0,FALSE
West Nile,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,aoqEF4fUP18,,nJ8JzIoR3QG,jM4Qy260tRg,Adjumani Town Council,aoqEF4fUP18,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,UEC,81974,CDC,FY2024Q4,118,,,4,7,6,2,9,20,10,15,7,15,1,10,3,5,2,2,,,118,,,,,,5,113,,0,,,,,,3,2,113,,,4,0,0,0,0,7,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,,118,,,128,0,0,0,0,0,0,TRUE
West Nile,Adjumani District,Adropi Subcounty,Adjumani Prisons HC II,UTC3IbJUl4K,,ubmd3m69Dv9,BaLT4Jk01lq,Adropi Subcounty,UTC3IbJUl4K,Adjumani District,Adropi Subcounty,Adjumani Prisons HC II,UPS,84974,CDC,FY2024Q4,2,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,2,0,,,0,,,,,2,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,,1,0,0,0,0,0,0,TRUE
Lango,Kwania District,Aduku Town Council,Aduku HC IV,WEH3aMvIS0B,,mbLlXELR4Nb,HhjUFy1frGq,Aduku Town Council,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,426,,,31,25,67,13,17,70,16,51,13,36,16,29,2,19,6,15,,27,406,,,,216,2,8,3,71,133,5,,68,216,2,4,4,3,71,60,5,0,68,210,2,3,4,3,73,52,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,10,0,0,0,0,1,5,0,0,0,10,0,1,0,0,1,5,0,0,0,10,0,1,0,0,1,5,426,433,27,406,,,420,2,2,8,16,17,17,FALSE
Lango,Oyam District,Loro Subcounty,Agulurude HC III,aes9vvQi4Df,,gHXMAd7Brzr,R6jJ1S66JcR,Loro Subcounty,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,469,,1,5,86,15,20,70,55,45,40,22,28,9,21,6,13,15,18,,29,448,,,,135,16,33,2,1,286,7,,2,135,16,17,16,2,1,277,7,0,2,121,15,12,15,0,0,276,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,7,0,0,0,13,1,3,1,1,0,3,0,0,0,10,1,1,1,1,0,0,0,0,0,10,1,5,1,1,0,0,0,0,0,10,1,5,1,1,0,0,469,477,29,448,,,448,12,12,22,14,18,18,FALSE
Kigezi,Kabale District,Southern Division (Kabale MC),AIDS Information Centre (Kabale) Special Clinic,s0sTvb5DnDP,,JxQgnete7bJ,Xf6kqqDx0gE,Southern Division,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale) Special Clinic,UPMB_LSD,81995,USAID,FY2024Q4,221,,,6,8,32,6,13,44,7,33,6,20,4,22,1,9,4,6,,11,214,,2,,184,2,15,,10,9,5,,4,184,2,11,4,,10,,5,0,4,180,2,11,3,0,8,0,0,0,0,7,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,227,11,214,,2,213,8,8,8,1,0,0,FALSE
