PIRS District,PIRS Subcounty,subcounty_pop_adjusted
Katakwi District,Usuk Subcounty,21860.72
Serere District,Labori Subcounty,20473.31
Amuria District,Abarilela Subcounty,25018.7
Amuria District,Orungo Subcounty,15200.74
Kampala District,Central Division,154846.08000000002
Soroti District,Arapai Subcounty,41640.840000000004
Ngora District,Ngora Subcounty,29478.600000000002
Kalungu District,Lukaya Town Council,49775.78
Kabale District,Southern Division,21434.3
Kampala District,Central Division,154846.08000000002
Ngora District,Mukura Subcounty,34593.58
Katakwi District,Ongongoja Subcounty,16911.57
Katakwi District,Katakwi Subcounty,38009.06
Masindi District,Pakanyi Subcounty,60154.060000000005
Kampala District,Makindye Division,809596.48
Kibaale District,Kasimbi Subcounty,10341.2
Kaberamaido District,Alwa Subcounty,24031.96
Amuria District,Apeduru Subcounty,15159.54
Amuria District,Amuria Town Council,7479.860000000001
Amuria District,Kuju Subcounty,18607.98
Bushenyi District,Kyamuhunga Town Council,15298.59
Serere District,Bugondo Subcounty,36542.340000000004
Kiryandongo District,Kigumba Subcounty,45258.200000000004
Pallisa District,Apopong Subcounty,27040.59
Soroti District,Arapai Subcounty,41640.840000000004
Mityana District,Kakindu Subcounty,37951.38
Katakwi District,Katakwi Town Council,7990.74
Soroti District,Asuret Subcounty,40827.14
Tororo District,Kwapa Subcounty,20764.8
Serere District,Atiira Subcounty,21018.18
Kumi District,Atutur Subcounty,22217.100000000002
Buliisa District,Ngwedo Subcounty,17996.16
Mayuge District,Baitambogwe Subcounty,39087.47
Kamuli District,Balawoli Subcounty,55926.94
Nakasongola District,Kalongo Subcounty,40112.32
Luwero District,Bamunanika Subcounty,59276.5
Kayunga District,Bbaale Subcounty,35368.14
Wakiso District,Wakiso Subcounty,364166.8
Bududa District,Bulucheke Subcounty,15562.27
Kampala District,Nakawa Division,653067.38
Nakaseke District,Kasangombe Subcounty,44819.42
Bukomansimbi District,Bigasa Subcounty,86536.48
Rubanda District,Nyamweru Subcounty,17880.8
Buhweju District,Bihanga Subcounty,13747.41
Kween District,Binyiny Town Council,3386.64
Kakumiro District,Birembo Subcounty,28277.62
Ibanda District,Bisheshe Division,32485.170000000002
Tororo District,Western Division,23630.260000000002
Kamwenge District,Nkoma Subcounty,32912.62
Mitooma District,Bitereko Subcounty,28712.280000000002
Namayingo District,Lolwe Subcounty,12555.7
Luwero District,Bombo Town Council,53213.92
Luwero District,Bombo Town Council,53213.92
Luwero District,Makulubita Subcounty,67767.82
Mbarara District,Bubaare Subcounty,23131.74
Butaleja District,Busolwe Subcounty,15293.44
Mitooma District,Kashenshero Town Council,5928.68
Kibaale District,Bubango Subcounty,18697.59
Rubanda District,Bubaare Subcounty,34834.6
Kalangala District,Bubeke Subcounty,10573.98
Bundibugyo District,Bubukwanga Subcounty,11680.2
Manafwa District,Manafwa Town Council,14054.35
Bududa District,Bushika Subcounty,31853.780000000002
Namisindwa District,Bubutu Subcounty,23920.72
Rukiga District,Kashambya Subcounty,26839.74
Sironko District,Budadiri Town Council,17511.03
Budaka District,Budaka Town Council,24523.27
Jinja District,Butagaya Subcounty,55152.380000000005
Kaliro District,Budomero Subcounty,25070.2
Masindi District,Budongo Subcounty,53493.05
Bududa District,Bududa Town Council,7002.97
Mbale District,Budwale Subcounty,7899.070000000001
Bududa District,Bumayoka Subcounty,19828.53
Kalangala District,Bufumira Subcounty,21201.52
Ibanda District,Bufunda Division,39188.41
Rubanda District,Bufundi Subcounty,26358.73
Butaleja District,Nawanjofu Subcounty,20209.63
Namayingo District,Bukana Subcounty,8794.14
Buliisa District,Buliisa Subcounty,17652.14
Rukungiri District,Bugangari Subcounty,30840.260000000002
Buvuma District,Bugaya Subcounty,9978.64
Luwero District,Kalagala Subcounty,91814.2
Kamuli District,Butansi Subcounty,30457.100000000002
Bulambuli District,Buginyanya Subcounty,5683.54
Bugiri District,Buwunga Subcounty,48164.86
Bugiri District,Western Division,15370.69
Kanungu District,Kanyantorogo Subcounty,19517.47
Bugiri District,Budhaya Subcounty,29326.16
Bugiri District,Eastern Division,14238.720000000001
Sironko District,Bugitimwa Subcounty,8750.880000000001
Manafwa District,Bugobero Subcounty,13825.69
Buliisa District,Butiaba Subcounty,29778.33
Serere District,Bugondo Subcounty,36542.340000000004
Sheema District,Bugongi Town Council,11893.41
Iganga District,Nabitende Subcounty,29132.52
Kasese District,Bugoye Subcounty,36596.93
Kamuli District,Bugulumbya Subcounty,37369.43
Kasese District,Rukoki Subcounty,14418.970000000001
Kabale District,Buhara Subcounty,26469.97
Kabale District,Buhara Subcounty,26469.97
Busia District,Buhehe Subcounty,20505.24
Kisoro District,Busanza Subcounty,18399.920000000002
Sironko District,Bumalimba Subcounty,17417.3
Rukungiri District,Buhunga Subcounty,22750.64
Buikwe District,Buikwe Town Council,34080.64
Buikwe District,Wakisi Division,84727.8
Mpigi District,Muduuma Subcounty,63110.16
Masaka District,Bukakata Subcounty,36550.58
Gomba District,Kyegonza Subcounty,62294.4
Luwero District,Wobulenzi Town Council,55718.880000000005
Bududa District,Bukalasi Subcounty,13293.18
Kayunga District,Nazigo Subcounty,88019.68000000001
Luuka District,Bukanga Subcounty,42912.89
Bundibugyo District,Bukonzo Subcounty,11007.61
Mpigi District,Kituntu Subcounty,45878.26
Kalangala District,Kyamuswa Subcounty,9745.86
Bukedea District,Bukedea Town Council,11254.81
Masaka District,Buwunga Subcounty,86969.08
Luuka District,Bulongo Subcounty,29094.41
Manafwa District,Buwagogo Subcounty,7203.820000000001
Namisindwa District,Bukhabusi Subcounty,10148.59
Bulambuli District,Bukhalu Subcounty,28885.32
Bududa District,Bukibokolo Subcounty,10343.26
Mbale District,Bukiende Subcounty,22469.45
Bududa District,Bukigai Subcounty,18288.68
Namayingo District,Buhemba Subcounty,28444.48
Kisoro District,Nyundo Subcounty,13554.800000000001
Rukiga District,Muhanga Town Council,12110.74
Kiboga District,Bukomero Town Council,29214.920000000002
Luuka District,Bukooma Subcounty,40382.18
Kampala District,Nakawa Division,653067.38
Mitooma District,Kashenshero Subcounty,12453.73
Kalungu District,Bukulula Subcounty,90407.22
Bukwo District,Bukwo Town Council,7816.67
