Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL),Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male",subcounty_ART_total,pct_art_pop_subcounty,usaid,cdc,dod,Subcounty,District,County,Subcounty Population,subcounty_pop_adjusted
Eastern Region,North East,J2JiemiIQvD,Katakwi District,Usuk Subcounty,Aakum Health Centre II,AIC Soroti  Region,87041.0,CDC,l86BIz6pDzr,J2JiemiIQvD,Katakwi District,Usuk Subcounty,Aakum Health Centre II,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,13,4,,,0,0,0,0,536.0,,0,1,0,Usuk,Katakwi,Usuk,21224.0,21860.72
Eastern Region,North East,aVQCbe80pl7,Serere District,Labori Subcounty,Aarapoo Health Centre III,AIC Soroti  Region,87041.0,CDC,JXTSTKGSHxq,aVQCbe80pl7,Serere District,Labori Subcounty,Aarapoo Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,240,0.0,0.0,2.0,3.0,2.0,1.0,9.0,15.0,21.0,17.0,16.0,18.0,15.0,8.0,13.0,5.0,0.0,0.0,2.0,4.0,2.0,2.0,4.0,7.0,6.0,10.0,22.0,10.0,13.0,4.0,5.0,4.0,0,0,0,0,0,,,3,3,14,5,,,4,5,68,50,,,56,32,0,0,240.0,1.0,0,1,0,Labori,Serere,Kasilo,19877.0,20473.31
Eastern Region,North East,IswqGyDbcgm,Amuria District,Abarilela Subcounty,Abarilela Health Centre III,AIC Soroti  Region,87041.0,CDC,jj0VP3cAaCp,IswqGyDbcgm,Amuria District,Abarilela Subcounty,Abarilela Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,,,7,10,92,59,,,6,4,133,77,,,4,4,44,29,162.0,,0,1,0,Abarilela,Amuria,Amuria,24290.0,25018.7
Eastern Region,North East,M864p5iRGub,Amuria District,Orungo Subcounty,Adakun Health Centre II,UPMB,84980.0,CDC,BPZNP5By5hb,M864p5iRGub,Amuria District,Orungo Subcounty,Adakun Health Centre II,UPMB,84980,CDC,DSD,FY2025Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,,,0,0,1,0,,,0,0,7,8,,,0,0,2,1,0.0,,0,1,0,Orungo,Amuria,Amuria,14758.0,15200.74
Central Region,Kampala,aWtkpwtp9JE,Kampala District,Central Division,Adventist Medical Centre,UPMB,84980.0,CDC,FuinxNi7q0E,aWtkpwtp9JE,Kampala District,Central Division,Adventist Medical Centre,UPMB,84980,CDC,DSD,FY2025Q1,161,0.0,0.0,1.0,3.0,2.0,1.0,15.0,23.0,26.0,11.0,18.0,11.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,8.0,8.0,5.0,2.0,3.0,0.0,0.0,0,0,0,0,0,,,2,0,29,10,,,4,2,62,20,,,0,0,20,12,19711.0,0.008168028005,0,1,0,Central Division,Kampala,KCCA,150336.0,154846.08000000002
Eastern Region,North East,PCvI4E289K1,Soroti District,Arapai Subcounty,Agirigiroi Health Centre II,AIC Soroti  Region,87041.0,CDC,N8PrJOaDeXd,PCvI4E289K1,Soroti District,Arapai Subcounty,Agirigiroi Health Centre II,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,0,0,1,2,,,0,0,20,9,,,0,0,1,0,231.0,0.1428571429,0,1,0,Arapai,Soroti,Soroti,40428.0,41640.840000000004
Eastern Region,North East,S70E0FJrMtU,Ngora District,Ngora Subcounty,Agu Health Centre III,AIC Soroti  Region,87041.0,CDC,DL28fCL1Ouv,S70E0FJrMtU,Ngora District,Ngora Subcounty,Agu Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,83,0.0,0.0,2.0,2.0,0.0,2.0,6.0,7.0,10.0,7.0,5.0,5.0,12.0,,,,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,7.0,,,,0,0,0,0,0,,,1,3,15,2,,,3,3,29,9,,,0,0,8,10,83.0,1.0,0,1,0,Ngora,Ngora,Ngora,28620.0,29478.600000000002
Central Region,Central 1,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,AHF Uganda Care,IDI Masaka Wakiso Region,87029.0,CDC,Rm8JsQhpnqY,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,AHF Uganda Care,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,3784,0.0,1.0,10.0,17.0,60.0,62.0,96.0,224.0,376.0,438.0,406.0,299.0,184.0,137.0,96.0,59.0,0.0,2.0,6.0,16.0,49.0,34.0,32.0,39.0,140.0,204.0,234.0,192.0,149.0,93.0,54.0,75.0,0,0,0,0,0,,,24,14,194,108,,,60,57,1358,664,,,4,2,825,474,4718.0,0.8020347605,0,1,0,Lukaya Town Council,Kalungu,Kalungu,48326.0,49775.78
Western Region,South Western,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale),UPMB LSD,81995.0,USAID,JxQgnete7bJ,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale),UPMB_LSD,81995,USAID,DSD,FY2025Q1,274,0.0,0.0,0.0,1.0,0.0,2.0,10.0,18.0,32.0,38.0,28.0,18.0,9.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,6.0,19.0,12.0,19.0,8.0,16.0,13.0,8.0,2.0,0,0,0,0,0,,,1,1,22,17,,,0,0,116,83,,,0,0,25,7,2104.0,0.1302281369,1,0,0,Southern Division,Kabale,Kabale Municipality,20810.0,21434.3
Central Region,Kampala,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala),ROM Kampala Region,87040.0,CDC,kB0HFAWMU0V,rxoAz9lkuSi,Kampala District,Central Division,AIDS Information Centre (Kampala),ROM_Kampala Region,87040,CDC,DSD,FY2025Q1,1576,0.0,0.0,0.0,1.0,1.0,10.0,49.0,143.0,178.0,178.0,117.0,77.0,56.0,22.0,18.0,9.0,0.0,0.0,1.0,4.0,3.0,1.0,7.0,35.0,85.0,130.0,145.0,120.0,99.0,56.0,22.0,9.0,0,0,0,0,0,,,0,2,96,88,,,1,6,413,306,,,1,0,348,315,19711.0,0.07995535488,0,1,0,Central Division,Kampala,KCCA,150336.0,154846.08000000002
