District,County,Subcounty,Subcounty Population
Amuria,Amuria,Abarilela,24290
Amuria,Amuria,Akeriau,14227
Amuria,Amuria,Amuria Town Council,7262
Amuria,Amuria,Apeduru,14718
Amuria,Amuria,Asamuk,21385
Amuria,Amuria,Kuju,18066
Amuria,Amuria,Morungatuny,17180
Amuria,Amuria,Ogolai,13891
Amuria,Amuria,Orungo,14758
Amuria,Amuria,Wera,24124
Amuria,Amuria,Willa,13447
Amuria,Kapelebyong,Acowa,18539
Amuria,Kapelebyong,Akoromit,18059
Amuria,Kapelebyong,Kapelebyong,19211
Amuria,Kapelebyong,Obalanga,17966
Amuria,Kapelebyong,Okungur,13805
Budaka,Budaka,Budaka,11074
Budaka,Budaka,Budaka Town Council,23809
Budaka,Budaka,Kachomo,14506
Budaka,Budaka,Kaderuna,17017
Budaka,Budaka,Kakule,12452
Budaka,Budaka,Lyama,19188
Budaka,Budaka,Naboa,13945
Budaka,Budaka,Nansanga,9643
Budaka,Iki-Iki,Iki-Iki,18605
Budaka,Iki-Iki,Kameruka,14907
Budaka,Iki-Iki,Kamonkoli,24764
Budaka,Iki-Iki,Katiira,16194
Budaka,Iki-Iki,Mugiti,11493
Bududa,Manjiya,Bubiita,6983
Bududa,Manjiya,Bududa,10796
Bududa,Manjiya,Bududa Town Council,6799
Bududa,Manjiya,Bukalasi,12906
Bududa,Manjiya,Bukibokolo,10042
Bududa,Manjiya,Bukigai,17756
Bududa,Manjiya,Bulucheke,15109
Bududa,Manjiya,Bumasheti,15930
Bududa,Manjiya,Bumayoka,19251
Bududa,Manjiya,Bushika,30926
Bududa,Manjiya,Bushiribo,11541
Bududa,Manjiya,Bushiyi,15751
Bududa,Manjiya,Buwali,6367
Bududa,Manjiya,Nabweya,10248
Bududa,Manjiya,Nakatsi,10877
Bududa,Manjiya,Nalwanza,8891
Bugiri,Bugiri Municipality,Eastern Division,13824
Bugiri,Bugiri Municipality,Western Division,14923
Bugiri,Bukooli North,Budhaya,28472
Bugiri,Bukooli North,Bulesa,39727
Bugiri,Bukooli North,Bulidha,24272
Bugiri,Bukooli North,Buluguyi,31411
Bugiri,Bukooli North,Buwunga,46762
Bugiri,Bukooli North,Iwemba,19297
Bugiri,Bukooli North,Kapyanga,58531
Bugiri,Bukooli North,Muterere,27907
Bugiri,Bukooli North,Nabukalu,36628
Bugiri,Bukooli North,Nankoma,41159
Buhweju,Buhweju,Bihanga,13347
Buhweju,Buhweju,Bitsya,15822
Buhweju,Buhweju,Burere,19221
Buhweju,Buhweju,Engaju,18981
Buhweju,Buhweju,Karungu,15438
Buhweju,Buhweju,Nsiika Town Council,2956
Buhweju,Buhweju,Nyakishana,17990
Buhweju,Buhweju,Rwengwe,16965
Buikwe,Buikwe,Buikwe,36152
Buikwe,Buikwe,Buikwe Town Council,33088
Buikwe,Buikwe,Najja,87970
Buikwe,Buikwe,Ngogwe,71048
Buikwe,Buikwe,Nkokonjeru Town Council,18022
Buikwe,Buikwe,Ssi-Bukunja,51116
Buikwe,Lugazi Municipality,Central Division,80466
Buikwe,Lugazi Municipality,Kawolo Division,81940
Buikwe,Lugazi Municipality,Najjembe Division,66642
Buikwe,Njeru Municipality,Njeru Division,137588
Buikwe,Njeru Municipality,Nyenga Division,99250
Buikwe,Njeru Municipality,Wakisi Division,82260
Bukedea,Bukedea,Bukedea,30439
Bukedea,Bukedea,Bukedea Town Council,10927
Bukedea,Bukedea,Kachumbala,55422
Bukedea,Bukedea,Kidongole,28203
Bukedea,Bukedea,Kolir,32733
Bukedea,Bukedea,Malera,45876
Bukomansimbi,Bukomansimbi,Bigasa,84016
Bukomansimbi,Bukomansimbi,Bukomansimbi Town Council,19396
Bukomansimbi,Bukomansimbi,Butenga,76910
Bukomansimbi,Bukomansimbi,Kibinge,65594
Bukomansimbi,Bukomansimbi,Kitanda,56910
Bukwo,Kongasis,Bukwo,8450
Bukwo,Kongasis,Bukwo Town Council,7589
Bukwo,Kongasis,Chepkwasta,8408
Bukwo,Kongasis,Chesower,6555
Bukwo,Kongasis,Kabei,6322
Bukwo,Kongasis,Kamet,5117
Bukwo,Kongasis,Kaptererwo,8736
Bukwo,Kongasis,Kortek,5799
Bukwo,Kongasis,Riwo,7635
Bukwo,Kongasis,Senendet,8811
Bukwo,Kongasis,Suam,10736
Bukwo,Kongasis,Tulel,5198
Bulambuli,Bulambuli,Buginyanya,5518
Bulambuli,Bulambuli,Bukhalu,28044
Bulambuli,Bulambuli,Bulaago,9469
Bulambuli,Bulambuli,Bulambuli Town Council,3263
Bulambuli,Bulambuli,Bulegeni,5092
Bulambuli,Bulambuli,Bulegeni Town Council,10617
Bulambuli,Bulambuli,Buluganya,12944
Bulambuli,Bulambuli,Bumasobo,8045
Bulambuli,Bulambuli,Bumugibole,6482
Bulambuli,Bulambuli,Bunambutye,8391
Bulambuli,Bulambuli,Bwikhonge,7765
Bulambuli,Bulambuli,Kamu,6353
Bulambuli,Bulambuli,Lusha,8814
Bulambuli,Bulambuli,Masiira,9522
Bulambuli,Bulambuli,Muyembe,7580
Bulambuli,Bulambuli,Nabbongo,9582
Bulambuli,Bulambuli,Namisuni,8672
Bulambuli,Bulambuli,Simu,5351
Bulambuli,Bulambuli,Sisiyi,13009
