Region,District,Subcounty,Service outlet,Tracker HF ID,KP Tracker /HIBRID Mechanism name,DATIM ID,DATIM Subcounty ID,DATIM Subcounty Name,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Period,"HIV_Prev_Numerator: 
Overall Total","HIV_Prev.1_ 10-14 Years, Female","HIV_Prev.2_ 10-14 Years, Male","HIV_Prev.3_ (15 - 19) Years, Female","HIV_Prev.4_ (15 - 19) Years, Male","HIV_Prev.5_ 20-24 Years, Female","HIV_Prev.6_ 20-24 Years, Male","HIV_Prev.7_ 25-29 Years, Female","HIV_Prev.8_ 25-29 Years, Male","HIV_Prev.9_ 30-34 Years, Female","HIV_Prev.10_ 30-34 Years, Male","HIV_Prev.11_ (35 - 39) Years, Female","HIV_Prev.12_ (35 - 39) Years, Male","HIV_Prev.13_ 40-44 Years, Female","HIV_Prev.14_ 40-44 Years, Male","HIV_Prev.15_45-49 Yrears, Female","HIV_Prev.16_45-49 Yrears, Male","HIV_Prev.17_ 50+ Years, Female","HIV_Prev.18_ 50+ Years, Male",HIV_Prev.19_PP_PREV HTS services: Overall Total,HIV_Prev.20_Known HIV Positive,HIV_Prev.21_Newly tested and/or referred for testing,HIV_Prev.22_Declined testing and/or referral,HIV_Prev.23_Test not required based on risk assessment,PP_PREV_Displaced Persons,PP_PREV.1_Clients of  Sex Workers,PP_PREV.2_Military and other Uniform Services,PP_PREV.3_Mobile Populations,PP_PREV.4_Fishing communities,PP_PREV.5_Non-injecting drug users,PP_PREV.6_Any Other Priority Population,PP_PREV2_Adolescents (10-24),PP_PREV3_Displaced Persons,PP_PREV4_Discordant Couples,PP_PREV5_Clients of  Sex Workers,PP_PREV6_Military and other Uniform Services,PP_PREV7_Mobile Populations,PP_PREV8_Truck Drivers,PP_PREV9_Fishing communities,PP_PREV10_Non-injecting drug users,PP_PREV11_Any Other Priority Population,HIV_test_Adolescents (10-24),HIV_test.1_Displaced Persons,HIV_test.2_Discordant Couples,HIV_test.3_Clients of  Sex Workers,HIV_test.4_Military and other Uniform Services,HIV_test.5_Mobile Populations,HIV_test.6_Truck Drivers,HIV_test.7_Fishing communities,HIV_test.8_Non-injecting drug users,HIV_test.9_Any Other Priority Population,HIV_pos_test_Adolescents (10-24),HIV_pos_test.1_Displaced Persons,HIV_pos_test.2_Discordant Couples,HIV_pos_test.3_Clients of  Sex Workers,HIV_pos_test.4_Military and other Uniform Services,HIV_pos_test.5_Mobile Populations,HIV_pos_test.6_Truck Drivers,HIV_pos_test.7_Fishing communities,HIV_pos_test.8_Non-injecting drug users,HIV_pos_test.9_Any Other Priority Population,New_ART_Adolescents (10-24),New_ART.1_Displaced Persons,New_ART.2_Discordant Couples,New_ART.3_Clients of  Sex Workers,New_ART.4_Military and other Uniform Services,New_ART.5_Mobile Populations,New_ART.6_Truck Drivers,New_ART.7_Fishing communities,New_ART.8_Non-injecting drug users,New_ART.9_Any Other Priority Population,PP_ART_Adolescents (10-24),PP_ART.1_Displaced Persons,PP_ART.2_Discordant Couples,PP_ART.3_Clients of  Sex Workers,PP_ART.4_Military and other Uniform Services,PP_ART.5_Mobile Populations,PP_ART.6_Truck Drivers,PP_ART.7_Fishing communities,PP_ART.8_Non-injecting drug users,PP_ART.9_Any Other Priority Population,VL eligible_Adolescents (10-24),VL eligible.1_Displaced Persons,VL eligible.2_Discordant Couples,VL eligible.3_Clients of  Sex Workers,VL eligible.4_Military and other Uniform Services,VL eligible.5_Mobile Populations,VL eligible.6_Truck Drivers,VL eligible.7_Fishing communities,VL eligible.8_Non-injecting drug users,VL eligible.9_Any Other Priority Population,VL_lab_doc_Adolescents (10-24),VL_lab_doc.1_Displaced Persons,VL_lab_doc.2_Discordant Couples,VL_lab_doc.3_Clients of  Sex Workers,VL_lab_doc.4_Military and other Uniform Services,VL_lab_doc.5_Mobile Populations,VL_lab_doc.6_Truck Drivers,VL_lab_doc.7_Fishing communities,VL_lab_doc.8_Non-injecting drug users,VL_lab_doc.9_Any Other Priority Population,VL_supp_Adolescents (10-24),VL_supp.1_Displaced Persons,VL_supp.2_Discordant Couples,VL_supp.3_Clients of  Sex Workers,VL_supp.4_Military and other Uniform Services,VL_supp.5_Mobile Populations,VL_supp.6_Truck Drivers,VL_supp.7_Fishing communities,VL_supp.8_Non-injecting drug users,VL_supp.9_Any Other Priority Population,summary_PP_PREV,summary.1_HTS_TST,summary.2_Known HIV Positive,summary.3_Newly tested and/or referred for testing,summary.4_Declined testing and/or referral,summary.5_Test not required based on risk assessment,summary.6_HTS_TST (Newly tested),summary.7_HTS_TST_POS,summary.8_TX_NEW,summary.9_TX_CURR,summary.10_VL eligible,summary.11_VL tested,summary.12_VL suppressed,summary.13_nan,PP_PREV2,subcounty_PP_PREV_total,pp_known_pos_subcounty,pct_pp_prev_pop_subcounty,pct_pp_pos_pop_subcounty,usaid,cdc,dod,subcounty_pop_adjusted
Lango,Oyam District,Kamdini Subcounty,Aber Hospital,cDGKAJzfkpf,0,whVRRz5wfqJ,oQatC41fkR8,Kamdini Subcounty,cDGKAJzfkpf,Oyam District,Kamdini Subcounty,St. John XXIII Hospital Aber,UPMB_LSD,81995,USAID,FY2024Q4,94,0,0,11,4,18,0,7,8,1,8,7,9,0,4,4,5,2,6,0,0,94,0,1,0,25,0,3,7,5,54,1,0,25,25,0,3,0,7,5,28,1,0,25,25,0,3,0,7,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95,0.0,94,0,1,94,0,0,0,0,0,0,True,94,94,0,1.0,,1,0,0,42019.880000000005
Lango,Kole District,Aboke Subcounty,Aboke HC IV,UIhutvdIhqU,0,qdfauyzsicr,n1m5X7BigR9,Aboke Subcounty,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,"1,186",1,0,77,130,131,74,117,98,97,91,86,65,51,61,23,41,13,30,0,15,1239,0,0,0,132,4,33,226,188,671,12,0,44,132,4,9,24,226,188,615,12,0,44,144,5,9,27,227,183,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,"1,186","1,254",15.0,"1,239",0,0,"1,265",0,0,15,15,15,15,False,1254,1254,15,1.0,1.0,1,0,0,48009.33
Lango,Kwania District,Abongomola Subcounty,Abongomola HC III,xzRSc5XHzys,0,rDCHA2jHz39,Q9sUqH7HoYP,Abongomola Subcounty,xzRSc5XHzys,Kwania District,Abongomola Subcounty,Abongomola HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,0,0,0,False,1,1,0,1.0,,1,0,0,35214.67
Acholi,Agago District,Adilang Subcounty,Adilang HC III,FvewOonC8lS,0,ZeRcMv22glU,ClwHXeeXWEt,Adilang Subcounty,FvewOonC8lS,Agago District,Adilang Town Council,Adilang HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,458,1,6,65,128,86,70,13,46,2,18,3,7,3,6,0,3,0,1,0,20,401,0,38,0,6,49,32,0,0,371,191,0,16,6,49,32,0,0,0,164,169,0,15,3,43,26,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,2,458,459,20.0,401,0,38,400,0,0,18,20,20,18,True,458,458,20,1.0,1.0,1,0,0,20882.22
West Nile,Adjumani District,Adjumani Town Council,Adjumani Hospital,hvtKTUxWNrt,0,DXy9kBbZcEQ,jM4Qy260tRg,Adjumani Town Council,hvtKTUxWNrt,Adjumani District,Adjumani Town Council,Adjumani Hospital,IDI_West Nile Region,84981,CDC,FY2024Q4,771,1,0,25,26,112,9,31,170,21,140,15,76,12,60,11,26,9,27,0,0,769,0,0,1,107,20,439,92,6,102,13,1,66,107,20,301,138,92,6,23,13,1,65,107,20,301,137,92,6,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,769,0.0,769,0,0,765,2,0,0,0,0,0,False,767,885,0,0.8666666666666667,,0,1,0,36495.99
West Nile,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,aoqEF4fUP18,0,nJ8JzIoR3QG,jM4Qy260tRg,Adjumani Town Council,aoqEF4fUP18,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,UEC,81974,CDC,FY2024Q4,118,0,0,4,7,6,2,9,20,10,15,7,15,1,10,3,5,2,2,0,0,118,0,0,0,0,0,5,113,0,0,0,0,0,0,0,3,2,113,0,0,4,0,0,0,0,7,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0.0,118,0,0,128,0,0,0,0,0,0,True,118,885,0,0.1333333333333333,,0,1,0,36495.99
West Nile,Adjumani District,Adropi Subcounty,Adjumani Prisons HC II,UTC3IbJUl4K,0,ubmd3m69Dv9,BaLT4Jk01lq,Adropi Subcounty,UTC3IbJUl4K,Adjumani District,Adropi Subcounty,Adjumani Prisons HC II,UPS,84974,CDC,FY2024Q4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,1,0,0,1,0,0,0,0,0,0,True,2,2,1,1.0,1.0,0,1,0,12065.42
Lango,Kwania District,Aduku Town Council,Aduku HC IV,WEH3aMvIS0B,0,mbLlXELR4Nb,HhjUFy1frGq,Aduku Town Council,WEH3aMvIS0B,Kwania District,Aduku Town Council,Aduku HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,426,0,0,31,25,67,13,17,70,16,51,13,36,16,29,2,19,6,15,0,27,406,0,0,0,216,2,8,3,71,133,5,0,68,216,2,4,4,3,71,60,5,0,68,210,2,3,4,3,73,52,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,10,0,0,0,0,1,5,0,0,0,10,0,1,0,0,1,5,0,0,0,10,0,1,0,0,1,5,426,433,27.0,406,0,0,420,2,2,8,16,17,17,False,433,433,27,1.0,1.0,1,0,0,7946.45
Lango,Oyam District,Loro Subcounty,Agulurude HC III,aes9vvQi4Df,0,gHXMAd7Brzr,R6jJ1S66JcR,Loro Subcounty,aes9vvQi4Df,Oyam District,Loro Subcounty,Agulurude HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,469,0,1,5,86,15,20,70,55,45,40,22,28,9,21,6,13,15,18,0,29,448,0,0,0,135,16,33,2,1,286,7,0,2,135,16,17,16,2,1,277,7,0,2,121,15,12,15,0,0,276,0,0,0,5,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,7,0,0,0,13,1,3,1,1,0,3,0,0,0,10,1,1,1,1,0,0,0,0,0,10,1,5,1,1,0,0,0,0,0,10,1,5,1,1,0,0,469,477,29.0,448,0,0,448,12,12,22,14,18,18,False,473,473,29,1.0,1.0,1,0,0,56814.8
Kigezi,Kabale District,Southern Division (Kabale MC),AIDS Information Centre (Kabale) Special Clinic,s0sTvb5DnDP,0,JxQgnete7bJ,Xf6kqqDx0gE,Southern Division,s0sTvb5DnDP,Kabale District,Southern Division,AIDS Information Centre (Kabale) Special Clinic,UPMB_LSD,81995,USAID,FY2024Q4,221,0,0,6,8,32,6,13,44,7,33,6,20,4,22,1,9,4,6,0,11,214,0,2,0,184,2,15,0,10,9,5,0,4,184,2,11,4,0,10,0,5,0,4,180,2,11,3,0,8,0,0,0,0,7,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,227,11.0,214,0,2,213,8,8,8,1,0,0,False,220,1138,35,0.1933216168717047,0.3142857142857143,1,0,0,
