Unnamed: 0,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,Agency,"MSM, Male",Transgender,Sex Workers,PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees)",Fishing communities,"Military and other uniformed services (including police, border guards, and security workers),Female","Mobile Populations (e.g., migrant workers, truck drivers)",Non-injecting drug users,Discordant Couples,usaid,cdc,dod,total_facility,total_subcounty,pct_of_subcounty_reached,pct_usaid_subcounty,District,Subcounty,subcounty_pop_adjusted,total,pct_pop_prep
0,Adjumani District,Adjumani Town Council,Adjumani Hospital,CDC,0.0,0.0,533.0,0.0,0.0,0.0,0.0,6.0,1069.0,3.0,15.0,12.0,141.0,19.0,226.0,1.0,22.0,0,1,0,1075.0,1094.0,0.9826325411334552,0.0,Adjumani District,Adjumani Town Council,36495.99,2047.0,0.05608835381640559
1,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,CDC,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,1,0,19.0,1094.0,0.0173674588665447,0.0,Adjumani District,Adjumani Town Council,36495.99,33.0,0.0009042089281589567
2,Agago District,Adilang Town Council,Adilang HC III,USAID,0.0,0.0,220.0,0.0,0.0,3.0,6.0,48.0,459.0,139.0,2.0,0.0,0.0,0.0,12.0,0.0,17.0,1,0,0,507.0,507.0,1.0,1.0,Agago District,Adilang Town Council,,906.0,
3,Agago District,Kalongo Town Council,Kalongo Ambrosoli Memorial Hospital,USAID,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,7.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,1,0,0,27.0,27.0,1.0,1.0,Agago District,Kalongo Town Council,20056.16,54.0,0.002692439629520307
4,Agago District,Patongo Town Council,Patongo HC IV,USAID,0.0,0.0,191.0,1.0,0.0,1.0,5.0,54.0,336.0,14.0,124.0,0.0,0.0,2.0,14.0,1.0,33.0,1,0,0,390.0,390.0,1.0,1.0,Agago District,Patongo Town Council,11873.84,776.0,0.06535375245076572
5,Alebtong District,Alebtong Town Council,Alebtong HC IV,USAID,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,52.0,52.0,1.0,1.0,Alebtong District,Alebtong Town Council,6903.06,53.0,0.007677754503075447
6,Amolatar District,Amolatar Town Council,Amolatar HC IV,USAID,0.0,0.0,99.0,0.0,0.0,1.0,0.0,32.0,311.0,3.0,0.0,0.0,220.0,0.0,0.0,1.0,0.0,1,0,0,343.0,343.0,1.0,1.0,Amolatar District,Amolatar Town Council,11538.06,667.0,0.05780867840867529
7,Amolatar District,Aputi Subcounty,Aputi HC III,USAID,0.0,0.0,101.0,0.0,0.0,0.0,0.0,5.0,174.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,1,0,0,179.0,179.0,1.0,1.0,Amolatar District,Aputi Subcounty,15474.72,358.0,0.023134505826276665
8,Amolatar District,Etam Town Council,Etam HC III,USAID,0.0,0.0,113.0,0.0,0.0,0.0,0.0,14.0,196.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,1,0,0,210.0,210.0,1.0,1.0,Amolatar District,Etam Town Council,15130.7,405.0,0.02676677219163687
9,Amolatar District,Muntu Subcounty,Nakatiti HC II,USAID,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,9.0,0.0,39.0,0.0,0.0,0.0,0.0,1,0,0,95.0,95.0,1.0,1.0,Amolatar District,Muntu Subcounty,13661.92,189.0,0.013834073102462903
10,Amolatar District,Namasale Subcounty,Namasale HC III,USAID,0.0,0.0,134.0,0.0,0.0,0.0,0.0,12.0,469.0,0.0,0.0,0.0,263.0,1.0,0.0,1.0,0.0,1,0,0,481.0,481.0,1.0,1.0,Amolatar District,Namasale Subcounty,20621.63,880.0,0.042673639280697014
11,Amuria District,Amuria Town Council,Amuria Hospital,CDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,6.0,6.0,1.0,0.0,Amuria District,Amuria Town Council,7479.860000000001,8.0,0.0010695387346822
12,Amuru District,Attiak Town Council,Atiak HC IV,USAID,1.0,0.0,59.0,0.0,0.0,1.0,1.0,11.0,186.0,13.0,58.0,0.0,0.0,2.0,7.0,2.0,11.0,1,0,0,197.0,197.0,1.0,1.0,Amuru District,Attiak Town Council,35375.35,352.0,0.0099504315858359
13,Amuru District,Pabo Town Council,Pabbo Health Centre III,USAID,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1,0,0,20.0,20.0,1.0,1.0,Amuru District,Pabo Town Council,,38.0,
14,Apac District,Akere Division,Apac Hospital,USAID,0.0,0.0,67.0,89.0,0.0,6.0,3.0,11.0,361.0,0.0,12.0,0.0,31.0,2.0,33.0,12.0,19.0,1,0,0,372.0,372.0,1.0,1.0,Apac District,Akere Division,9433.77,646.0,0.0684773955693217
15,Apac District,Akokoro Town Council,Akokoro HC III,USAID,0.0,0.0,90.0,37.0,0.0,0.0,0.0,0.0,290.0,0.0,6.0,0.0,91.0,0.0,12.0,11.0,0.0,1,0,0,290.0,290.0,1.0,1.0,Apac District,Akokoro Town Council,,537.0,
16,Apac District,Ibuje Town Council,Alenga HC III,USAID,0.0,0.0,47.0,0.0,0.0,0.0,0.0,8.0,87.0,0.0,41.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,95.0,95.0,1.0,1.0,Apac District,Ibuje Town Council,41351.41,187.0,0.0045222158083605855
17,Arua City,Arua Central Division,Arua Regional Referral Hospital,CDC,18.0,0.0,705.0,20.0,0.0,0.0,0.0,42.0,824.0,11.0,37.0,0.0,0.0,2.0,47.0,3.0,12.0,0,1,0,866.0,2999.0,0.2887629209736579,0.0,Arua City,Arua Central Division,,1721.0,
18,Arua City,Arua Central Division,River Oli HC IV,CDC,88.0,2.0,780.0,5.0,0.0,105.0,130.0,1559.0,574.0,56.0,373.0,1.0,42.0,30.0,428.0,10.0,29.0,0,1,0,2133.0,2999.0,0.7112370790263421,0.0,Arua City,Arua Central Division,,4212.0,
19,Arua City,Ayivu Division,Ediofe HC III,CDC,0.0,0.0,132.0,0.0,0.0,0.0,0.0,1.0,225.0,0.0,27.0,0.0,0.0,0.0,28.0,0.0,0.0,0,1,0,226.0,226.0,1.0,0.0,Arua City,Ayivu Division,254502.7,413.0,0.001622772567835233
20,Arua District,Arivu Subcounty,Bondo HC III,CDC,0.0,0.0,42.0,0.0,0.0,0.0,0.0,6.0,191.0,34.0,1.0,0.0,4.0,2.0,67.0,0.0,2.0,0,1,0,197.0,197.0,1.0,0.0,Arua District,Arivu Subcounty,24915.7,349.0,0.014007232387611025
21,Arua District,Vurra Subcounty,Vurra HC III,CDC,0.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,193.0,14.0,0.0,0.0,6.0,45.0,30.0,3.0,0.0,0,1,0,194.0,194.0,1.0,0.0,Arua District,Vurra Subcounty,45935.94,354.0,0.00770638415149445
22,Bugiri District,Bulidha Subcounty,Bulidha HC III,USAID,0.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,164.0,10.0,5.0,0.0,79.0,4.0,16.0,0.0,4.0,1,0,0,165.0,165.0,1.0,1.0,Bugiri District,Bulidha Subcounty,25000.16,328.0,0.013119916032537392
